ITEM#,Resource,WEIGHT (G/SM),Cuttable Width(inch),Fabric  Category,Fabric Type,FABRIC CONTENT 1,FABRIC CONTENT 2,FABRIC CONTENT 3,FABRIC CONTENT 4,FABRIC CONTENT 5,bendingLeftBias,bendingRightBias,bendingWarp,bendingWeft,bucklingRatioLeftBias,bucklingRatioRightBias,bucklingRatioWarp,bucklingRatioWeft,bucklingStiffnessLeftBias,bucklingStiffnessRightBias,bucklingStiffnessWarp,bucklingStiffnessWeft,density,friction,internalDamping,leftShear,rightShear,stretchWarp,stretchWeft,thickness
1093,KTTA & KOTITI,269,,knit,,PC 43%,wool 37%,polyamide 20%,,,,,,,,,,,,,,,,,,,,,,
6849,KTTA & KOTITI,269,,woven,,linen 71%, Silk 29%,,,,,,,,,,,,,,,,,,,,,,,
6978,KTTA & KOTITI,232,,woven,,cotton 34%,"viscose 35%, ",polyester 31%,,,,,,,,,,,,,,,,,,,,,,
6982,KTTA & KOTITI,86,,woven,,polyamide 100%,,,,,,,,,,,,,,,,,,,,,,,,
6983,KTTA & KOTITI,361,,knit,,polyester 100%,,,,,,,,,,,,,,,,,,,,,,,,
6993,KTTA & KOTITI,167,,Woven,,"wool 60%, ","Silk 25%, ",ME 15%,,,,,,,,,,,,,,,,,,,,,,
7029,KTTA & KOTITI,134,,Woven,,"cotton 80%, ",PC 20%,,,,,,,,,,,,,,,,,,,,,,,
7030,KTTA & KOTITI,260,,Woven,,"linen 56%,",cotton 44%,,,,,,,,,,,,,,,,,,,,,,,
7047,KTTA & KOTITI,184,,Woven,,"Silk 70%, ",wool 30%,,,,,,,,,,,,,,,,,,,,,,,
7048,KTTA & KOTITI,126,,Woven,,"cotton 75%, ",Silk 25%,,,,,,,,,,,,,,,,,,,,,,,
7092,KTTA & KOTITI,152,,Woven,,Cupro 66%,polyester 34%,,,,,,,,,,,,,,,,,,,,,,,
7093,KTTA & KOTITI,249,,woven,,"acylic 66%,"," polyamide 31%, ",EL 3%,,,,,,,,,,,,,,,,,,,,,,
7096,KTTA & KOTITI,46,,woven,,polyamide 70%,lyocell 30%,,,,,,,,,,,,,,,,,,,,,,,
7109,KTTA & KOTITI,333,,knit,,Ramie 79%,polyamide 15%,EL 6%,,,,,,,,,,,,,,,,,,,,,,
7114,KTTA & KOTITI,197,,woven,,polyamide 24%,cotton 76%,,,,,,,,,,,,,,,,,,,,,,,
7128,KTTA & KOTITI,204,,woven,,polyester 100%,,,,,,,,,,,,,,,,,,,,,,,,
7137,KTTA & KOTITI,241,,Knit,,cotton 100%,,,,,,,,,,,,,,,,,,,,,,,,
7148,KTTA & KOTITI,58,,woven,,viscose 52%,polyester 48%,,,,,,,,,,,,,,,,,,,,,,,
7168,KTTA & KOTITI,160,,Knit,,polyester 100%,,,,,,,,,,,,,,,,,,,,,,,,
7173,KTTA & KOTITI,210,,Knit,,polyamide 80%,EL 20%,,,,,,,,,,,,,,,,,,,,,,,
7186,KTTA & KOTITI,270,,Woven,,"polyamide 93%,",Polyurethane 7%,,,,,,,,,,,,,,,,,,,,,,,
7193,KTTA & KOTITI,138,,Knit,,polyester 100%,,,,,,,,,,,,,,,,,,,,,,,,
7194,KTTA & KOTITI,127,,Woven,,cotton 100%,,,,,,,,,,,,,,,,,,,,,,,,
7197,KTTA & KOTITI,106,,Woven,,"(F) Polyurethane 100%, (B) Polyethylene 100%",,,,,,,,,,,,,,,,,,,,,,,,
7211,KTTA & KOTITI,236,,Woven,,PolyethyleneT 64% ,cotton 36%,,,,,,,,,,,,,,,,,,,,,,,
7213,KTTA & KOTITI,159,,woven,,Ramie 100%,,,,,,,,,,,,,,,,,,,,,,,,
7214,KTTA & KOTITI,241,,woven,,"cotton 78%, ",linen 22%,,,,,,,,,,,,,,,,,,,,,,,
7215,KTTA & KOTITI,168,,woven,,"polyamide 78%, ","Polyurethane 12%, ",polyester 10%,,,,,,,,,,,,,,,,,,,,,,
