ITEM#,bucklingStiffnessBias,bendingWeft,stretchWeft,thickness,bucklingRatioWarp,bucklingRatioWeft,bucklingStiffnessWeft,density,friction,shear,bucklingStiffnessWarp,internalDamping,bucklingRatioWias,bendingBias,bendingWarp,stretchWarp
#1001 SKIN+CIRE,0.0,27.4658203125,1000000.0,0.07000000029802322,0.0,0.0,0.0,38.88888931274414,0.029999999329447746,25206.509765625,0.0,9.999999747378752e-05,0.0,36.62109375,45.7763671875,1000000.0
#1025 SKIN+,0.0,100.7080078125,1000000.0,0.11999999731779099,0.0,0.0,0.0,45.959598541259766,0.029999999329447746,98017.9296875,0.0,9.999999747378752e-05,0.0,234.9853515625,369.2626953125,1000000.0
#1128 C2L,0.0,192.2607421875,1000000.0,0.07999999821186066,0.0,0.0,0.0,43.43434524536133,0.029999999329447746,12141.4794921875,0.0,9.999999747378752e-05,0.0,268.5546875,344.8486328125,1000000.0
#1754 WR,0.0,1217.6513671875,649094.125,0.49000000953674316,0.0,0.0,0.0,261.1111145019531,0.029999999329447746,132290.15625,0.0,9.999999747378752e-05,0.0,2560.4248046875,3903.1982421875,150546.53125
#1840,0.0,76.2939453125,183954.40625,0.17000000178813934,0.0,0.0,0.0,80.8080825805664,0.029999999329447746,12871.1953125,0.0,9.999999747378752e-05,0.0,76.2939453125,76.2939453125,313735.1875
#4509 PU2,0.0,37503.05078125,1000000.0,0.5360000133514404,0.0,0.0,0.0,333.8384094238281,0.029999999329447746,483411.28125,0.0,9.999999747378752e-05,0.0,68750.0,99996.953125,1000000.0
#4707 W3L,0.0,18753.05078125,1000000.0,0.6600000262260437,0.0,0.0,0.0,388.38385009765625,0.029999999329447746,1000000.0,0.0,9.999999747378752e-05,0.0,21875.0,24996.94921875,1000000.0
#4820 PU2,0.0,3121.9482421875,1000000.0,0.6299999952316284,0.0,0.0,0.0,347.4747619628906,0.029999999329447746,889907.75,0.0,9.999999747378752e-05,0.0,14840.69921875,26559.44921875,1000000.0
#7123 PU2,0.0,4690.5517578125,1000000.0,0.3400000035762787,0.0,0.0,0.0,161.6161651611328,0.029999999329447746,112481.734375,0.0,9.999999747378752e-05,0.0,7034.3017578125,9378.0517578125,1000000.0
#7172 TEF,0.0,31246.94921875,662685.125,0.9860000014305115,0.0,0.0,0.0,420.7070617675781,0.029999999329447746,135310.796875,0.0,9.999999747378752e-05,0.0,41403.19921875,51559.44921875,735024.8125
#8102P,0.0,588.9892578125,539616.4375,0.2240000069141388,0.0,0.0,0.0,94.94949340820312,0.029999999329447746,80999.9375,0.0,9.999999747378752e-05,0.0,637.8173828125,686.6455078125,1000000.0
(G)H170470,0.0,1174.9267578125,53102.390625,0.5600000023841858,0.0,0.0,0.0,253.03030395507812,0.029999999329447746,14316.1220703125,0.0,9.999999747378752e-05,0.0,735.4736328125,296.0205078125,264812.0
14028A,0.0,1467.8955078125,176009.0625,0.8579999804496765,0.0,0.0,0.0,384.8484802246094,0.029999999329447746,8760.1357421875,0.0,9.999999747378752e-05,0.0,1342.7734375,1217.6513671875,157423.1875
160076-1,0.0,485.2294921875,134200.4375,0.49000000953674316,0.0,0.0,0.0,171.71717834472656,0.029999999329447746,57433.06640625,0.0,9.999999747378752e-05,0.0,460.8154296875,436.4013671875,254794.03125
160135,0.0,4879.7607421875,624018.5,0.7739999890327454,0.0,0.0,0.0,333.3333435058594,0.029999999329447746,280236.5625,0.0,9.999999747378752e-05,0.0,5953.9794921875,7028.1982421875,624265.125
17CJS1287,0.0,973.5107421875,269742.875,0.3310000002384186,0.0,0.0,0.0,192.92929077148438,0.029999999329447746,69701.84375,0.0,9.999999747378752e-05,0.0,985.7177734375,997.9248046875,1000000.0
18399 DTP(PP),0.0,3317.2607421875,227408.734375,1.3700000047683716,0.0,0.0,0.0,387.8787536621094,0.029999999329447746,8825.1875,0.0,9.999999747378752e-05,0.0,4003.90625,4690.5517578125,330982.28125
518221,0.0,411.9873046875,157500.15625,0.6499999761581421,0.0,0.0,0.0,241.41415405273438,0.029999999329447746,25008.09375,0.0,9.999999747378752e-05,0.0,964.35546875,1516.7236328125,262675.3125
578244,0.0,387.5732421875,83396.734375,0.6100000143051147,0.0,0.0,0.0,238.88890075683594,0.029999999329447746,7162.005859375,0.0,9.999999747378752e-05,0.0,537.109375,686.6455078125,148809.375
618260,0.0,88.5009765625,196728.984375,0.07000000029802322,0.0,0.0,0.0,60.60606384277344,0.029999999329447746,7916.9150390625,0.0,9.999999747378752e-05,0.0,433.349609375,778.1982421875,1000000.0
627708,0.0,3512.5732421875,65963.2265625,0.25,0.0,0.0,0.0,164.14141845703125,0.029999999329447746,66173.453125,0.0,9.999999747378752e-05,0.0,6445.3125,9378.0517578125,115365.3125
678122,0.0,1174.9267578125,162517.0625,0.1599999964237213,0.0,0.0,0.0,109.5959701538086,0.029999999329447746,41300.6015625,0.0,9.999999747378752e-05,0.0,881.9580078125,588.9892578125,803517.5625
6935P,0.0,2737.4267578125,179429.40625,0.6100000143051147,0.0,0.0,0.0,202.5252685546875,0.029999999329447746,183567.046875,0.0,9.999999747378752e-05,0.0,2246.09375,1754.7607421875,338444.8125
7A7542,0.0,1559.4482421875,202063.78125,0.41200000047683716,0.0,0.0,0.0,128.2828369140625,0.029999999329447746,18096.12890625,0.0,9.999999747378752e-05,0.0,1754.7607421875,1950.0732421875,307299.5
7A7542C,0.0,485.2294921875,7449.28466796875,0.41600000858306885,0.0,0.0,0.0,137.8787841796875,0.029999999329447746,18058.984375,0.0,9.999999747378752e-05,0.0,6491.0888671875,12496.9482421875,528691.125
7A7557,0.0,4690.5517578125,1000000.0,0.34700000286102295,0.0,0.0,0.0,109.09091186523438,0.029999999329447746,9392.724609375,0.0,9.999999747378752e-05,0.0,3149.4140625,1608.2763671875,1000000.0
7A7815,0.0,283.8134765625,181213.015625,0.1599999964237213,0.0,0.0,0.0,51.51515197753906,0.029999999329447746,26462.677734375,0.0,9.999999747378752e-05,0.0,521.8505859375,759.8876953125,301885.5625
AC-291 BR-3L,0.0,12496.9482421875,165639.921875,0.4399999976158142,0.0,0.0,0.0,280.8080749511719,0.029999999329447746,172875.96875,0.0,9.999999747378752e-05,0.0,18746.94921875,24996.94921875,148015.625
AD14139 FD,0.0,9378.0517578125,797363.875,0.7200000286102295,0.0,0.0,0.0,361.1111145019531,0.029999999329447746,186688.984375,0.0,9.999999747378752e-05,0.0,11718.75,14059.4482421875,596273.25
AE-1508 BO,0.0,3030.3955078125,173539.265625,0.23999999463558197,0.0,0.0,0.0,161.6161651611328,0.029999999329447746,31652.962890625,0.0,9.999999747378752e-05,0.0,2001.953125,973.5107421875,108975.984375
AE-1586 JVW1,0.0,24996.94921875,205435.90625,0.25,0.0,0.0,0.0,161.11111450195312,0.029999999329447746,46980.92578125,0.0,9.999999747378752e-05,0.0,17187.5,9378.0517578125,53664.46484375
AMBER,0.0,3121.9482421875,1000000.0,0.31700000166893005,0.0,0.0,0.0,189.39393615722656,0.029999999329447746,40315.58203125,0.0,9.999999747378752e-05,0.0,4684.4482421875,6246.9482421875,1000000.0
ATTIVO-K1046-P,0.0,3121.9482421875,1000000.0,0.2329999953508377,0.0,0.0,0.0,128.78787231445312,0.029999999329447746,46386.6875,0.0,9.999999747378752e-05,0.0,1864.6240234375,607.2998046875,539847.25
AVIS 4300,0.0,778.1982421875,1000000.0,0.12999999523162842,0.0,0.0,0.0,80.30303192138672,0.029999999329447746,7819.95458984375,0.0,9.999999747378752e-05,0.0,1074.21875,1370.2392578125,1000000.0
BACK SULUB F-TERRY,0.0,4690.5517578125,46255.921875,0.9819999933242798,0.0,0.0,0.0,298.4848327636719,0.029999999329447746,32858.55078125,0.0,9.999999747378752e-05,0.0,4296.875,3903.1982421875,33197.140625
BACK TWIST F-TERRY.zfab,0.0,5471.8017578125,522712.125,1.3700000047683716,0.0,0.0,0.0,381.81817626953125,0.029999999329447746,404869.125,0.0,9.999999747378752e-05,0.0,3421.0205078125,1370.2392578125,488198.9375
BB0070A-1,0.0,2151.4892578125,106237.6328125,0.3400000035762787,0.0,0.0,0.0,120.2020263671875,0.029999999329447746,6282.39990234375,0.0,9.999999747378752e-05,0.0,1150.5126953125,149.5361328125,97166.3828125
BB0070A-2,0.0,2346.8017578125,104741.0234375,0.328000009059906,0.0,0.0,0.0,127.27272033691406,0.029999999329447746,29393.37109375,0.0,9.999999747378752e-05,0.0,1232.91015625,119.0185546875,48976.0390625
BB0070A-3,0.0,485.2294921875,41155.25390625,0.31200000643730164,0.0,0.0,0.0,127.77777862548828,0.029999999329447746,85450.796875,0.0,9.999999747378752e-05,0.0,329.58984375,173.9501953125,23535.44921875
BD-0120,0.0,149.5361328125,34103.0234375,0.5199999809265137,0.0,0.0,0.0,138.3838348388672,0.029999999329447746,10414.4462890625,0.0,9.999999747378752e-05,0.0,143.4326171875,137.3291015625,40146.7421875
BIG STRIPE,0.0,10940.5517578125,655370.1875,0.4699999988079071,0.0,0.0,0.0,201.01010131835938,0.029999999329447746,8160.2451171875,0.0,9.999999747378752e-05,0.0,7815.5517578125,4690.5517578125,721678.75
BM-3651Z4,0.0,149.5361328125,1000000.0,0.10000000149011612,0.0,0.0,0.0,85.3535385131836,0.029999999329447746,24121.1640625,0.0,9.999999747378752e-05,0.0,1248.1689453125,2346.8017578125,1000000.0
BONTEX-1153,0.0,14059.4482421875,709277.8125,1.1640000343322754,0.0,0.0,0.0,344.9494934082031,0.029999999329447746,395060.0625,0.0,9.999999747378752e-05,0.0,13278.1982421875,12496.9482421875,546344.9375
BPT-829HZ,0.0,1559.4482421875,1000000.0,0.2709999978542328,0.0,0.0,0.0,212.6262664794922,0.029999999329447746,62343.5390625,0.0,9.999999747378752e-05,0.0,3903.1982421875,6246.9482421875,1000000.0
BPTS-81089,0.0,94.6044921875,13994.267578125,0.5400000214576721,0.0,0.0,0.0,186.8686981201172,0.029999999329447746,6392.72216796875,0.0,9.999999747378752e-05,0.0,155.6396484375,216.6748046875,28858.1640625
BPTS-PE16202,0.0,344.8486328125,450882.78125,0.27000001072883606,0.0,0.0,0.0,143.43434143066406,0.029999999329447746,7136.17626953125,0.0,9.999999747378752e-05,0.0,366.2109375,387.5732421875,307497.4375
BPTS-PN11319,0.0,1559.4482421875,357317.8125,0.3100000023841858,0.0,0.0,0.0,148.98989868164062,0.029999999329447746,28095.0703125,0.0,9.999999747378752e-05,0.0,1095.5810546875,631.7138671875,621856.25
BPTS-PN11340,0.0,540.1611328125,210454.546875,0.33000001311302185,0.0,0.0,0.0,150.0,0.029999999329447746,13077.890625,0.0,9.999999747378752e-05,0.0,683.59375,827.0263671875,352408.0625
BPTS-PN14262,0.0,2346.8017578125,437163.40625,0.25,0.0,0.0,0.0,135.85858154296875,0.029999999329447746,12766.8115234375,0.0,9.999999747378752e-05,0.0,1416.015625,485.2294921875,404060.34375
BPTS-PN16090,0.0,387.5732421875,653162.75,0.3100000023841858,0.0,0.0,0.0,167.67677307128906,0.029999999329447746,21559.28515625,0.0,9.999999747378752e-05,0.0,436.4013671875,485.2294921875,396269.40625
BPTS-PN17092,0.0,588.9892578125,415263.9375,0.2800000011920929,0.0,0.0,0.0,148.48484802246094,0.029999999329447746,9024.291015625,0.0,9.999999747378752e-05,0.0,500.48828125,411.9873046875,390875.3125
BPTS-PN17153,0.0,973.5107421875,531666.125,0.3199999928474426,0.0,0.0,0.0,151.01010131835938,0.029999999329447746,14709.7412109375,0.0,9.999999747378752e-05,0.0,1074.21875,1174.9267578125,335395.96875
C180007-1,0.0,94.6044921875,38283.97265625,0.4099999964237213,0.0,0.0,0.0,164.64646911621094,0.029999999329447746,13695.5546875,0.0,9.999999747378752e-05,0.0,134.27734375,173.9501953125,111221.1796875
CD90SP20(MELANGE),0.0,76.2939453125,342335.6875,0.41999998688697815,0.0,0.0,0.0,177.27272033691406,0.029999999329447746,10205.841796875,0.0,9.999999747378752e-05,0.0,158.69140625,241.0888671875,143483.0
CHANNEL STRIPE,0.0,7809.4482421875,852438.3125,0.41999998688697815,0.0,0.0,0.0,134.34344482421875,0.029999999329447746,87759.640625,0.0,9.999999747378752e-05,0.0,4147.3388671875,485.2294921875,494664.375
CL-010,0.0,173.9501953125,136282.03125,0.38999998569488525,0.0,0.0,0.0,165.65655517578125,0.029999999329447746,35531.71875,0.0,9.999999747378752e-05,0.0,161.7431640625,149.5361328125,117883.1796875
COCOA,0.0,6246.9482421875,1000000.0,0.20800000429153442,0.0,0.0,0.0,135.85858154296875,0.029999999329447746,188070.796875,0.0,9.999999747378752e-05,0.0,6246.9482421875,6246.9482421875,1000000.0
