ITEM#,friction,bendingWeft,bucklingStiffnessWeft,thickness,bucklingStiffnessBias,bucklingRatioWarp,bendingBias,internalDamping,stretchWarp,stretchWeft,bucklingRatioWias,bucklingRatioWeft,density,shear,bendingWarp,bucklingStiffnessWarp
#1001 SKIN+CIRE,0.029999999329447746,27.4658203125,0.0,0.07000000029802322,0.0,0.0,36.62109375,9.999999747378752e-05,1000000.0,1000000.0,0.0,0.0,38.88888931274414,25206.509765625,45.7763671875,0.0
#1025 SKIN+,0.029999999329447746,100.7080078125,0.0,0.11999999731779099,0.0,0.0,234.9853515625,9.999999747378752e-05,1000000.0,1000000.0,0.0,0.0,45.959598541259766,98017.9296875,369.2626953125,0.0
#1128 C2L,0.029999999329447746,192.2607421875,0.0,0.07999999821186066,0.0,0.0,268.5546875,9.999999747378752e-05,1000000.0,1000000.0,0.0,0.0,43.43434524536133,12141.4794921875,344.8486328125,0.0
#1754 WR,0.029999999329447746,1217.6513671875,0.0,0.49000000953674316,0.0,0.0,2560.4248046875,9.999999747378752e-05,150546.53125,649094.125,0.0,0.0,261.1111145019531,132290.15625,3903.1982421875,0.0
#1840,0.029999999329447746,76.2939453125,0.0,0.17000000178813934,0.0,0.0,76.2939453125,9.999999747378752e-05,313735.1875,183954.40625,0.0,0.0,80.8080825805664,12871.1953125,76.2939453125,0.0
#4509 PU2,0.029999999329447746,37503.05078125,0.0,0.5360000133514404,0.0,0.0,68750.0,9.999999747378752e-05,1000000.0,1000000.0,0.0,0.0,333.8384094238281,483411.28125,99996.953125,0.0
#4707 W3L,0.029999999329447746,18753.05078125,0.0,0.6600000262260437,0.0,0.0,21875.0,9.999999747378752e-05,1000000.0,1000000.0,0.0,0.0,388.38385009765625,1000000.0,24996.94921875,0.0
#4820 PU2,0.029999999329447746,3121.9482421875,0.0,0.6299999952316284,0.0,0.0,14840.69921875,9.999999747378752e-05,1000000.0,1000000.0,0.0,0.0,347.4747619628906,889907.75,26559.44921875,0.0
#7123 PU2,0.029999999329447746,4690.5517578125,0.0,0.3400000035762787,0.0,0.0,7034.3017578125,9.999999747378752e-05,1000000.0,1000000.0,0.0,0.0,161.6161651611328,112481.734375,9378.0517578125,0.0
#7172 TEF,0.029999999329447746,31246.94921875,0.0,0.9860000014305115,0.0,0.0,41403.19921875,9.999999747378752e-05,735024.8125,662685.125,0.0,0.0,420.7070617675781,135310.796875,51559.44921875,0.0
#8102P,0.029999999329447746,588.9892578125,0.0,0.2240000069141388,0.0,0.0,637.8173828125,9.999999747378752e-05,1000000.0,539616.4375,0.0,0.0,94.94949340820312,80999.9375,686.6455078125,0.0
(G)H170470,0.029999999329447746,1174.9267578125,0.0,0.5600000023841858,0.0,0.0,735.4736328125,9.999999747378752e-05,264812.0,53102.390625,0.0,0.0,253.03030395507812,14316.1220703125,296.0205078125,0.0
14028A,0.029999999329447746,1467.8955078125,0.0,0.8579999804496765,0.0,0.0,1342.7734375,9.999999747378752e-05,157423.1875,176009.0625,0.0,0.0,384.8484802246094,8760.1357421875,1217.6513671875,0.0
160076-1,0.029999999329447746,485.2294921875,0.0,0.49000000953674316,0.0,0.0,460.8154296875,9.999999747378752e-05,254794.03125,134200.4375,0.0,0.0,171.71717834472656,57433.06640625,436.4013671875,0.0
160135,0.029999999329447746,4879.7607421875,0.0,0.7739999890327454,0.0,0.0,5953.9794921875,9.999999747378752e-05,624265.125,624018.5,0.0,0.0,333.3333435058594,280236.5625,7028.1982421875,0.0
17CJS1287,0.029999999329447746,973.5107421875,0.0,0.3310000002384186,0.0,0.0,985.7177734375,9.999999747378752e-05,1000000.0,269742.875,0.0,0.0,192.92929077148438,69701.84375,997.9248046875,0.0
18399 DTP(PP),0.029999999329447746,3317.2607421875,0.0,1.3700000047683716,0.0,0.0,4003.90625,9.999999747378752e-05,330982.28125,227408.734375,0.0,0.0,387.8787536621094,8825.1875,4690.5517578125,0.0
518221,0.029999999329447746,411.9873046875,0.0,0.6499999761581421,0.0,0.0,964.35546875,9.999999747378752e-05,262675.3125,157500.15625,0.0,0.0,241.41415405273438,25008.09375,1516.7236328125,0.0
578244,0.029999999329447746,387.5732421875,0.0,0.6100000143051147,0.0,0.0,537.109375,9.999999747378752e-05,148809.375,83396.734375,0.0,0.0,238.88890075683594,7162.005859375,686.6455078125,0.0
618260,0.029999999329447746,88.5009765625,0.0,0.07000000029802322,0.0,0.0,433.349609375,9.999999747378752e-05,1000000.0,196728.984375,0.0,0.0,60.60606384277344,7916.9150390625,778.1982421875,0.0
627708,0.029999999329447746,3512.5732421875,0.0,0.25,0.0,0.0,6445.3125,9.999999747378752e-05,115365.3125,65963.2265625,0.0,0.0,164.14141845703125,66173.453125,9378.0517578125,0.0
678122,0.029999999329447746,1174.9267578125,0.0,0.1599999964237213,0.0,0.0,881.9580078125,9.999999747378752e-05,803517.5625,162517.0625,0.0,0.0,109.5959701538086,41300.6015625,588.9892578125,0.0
6935P,0.029999999329447746,2737.4267578125,0.0,0.6100000143051147,0.0,0.0,2246.09375,9.999999747378752e-05,338444.8125,179429.40625,0.0,0.0,202.5252685546875,183567.046875,1754.7607421875,0.0
7A7542,0.029999999329447746,1559.4482421875,0.0,0.41200000047683716,0.0,0.0,1754.7607421875,9.999999747378752e-05,307299.5,202063.78125,0.0,0.0,128.2828369140625,18096.12890625,1950.0732421875,0.0
7A7542C,0.029999999329447746,485.2294921875,0.0,0.41600000858306885,0.0,0.0,6491.0888671875,9.999999747378752e-05,528691.125,7449.28466796875,0.0,0.0,137.8787841796875,18058.984375,12496.9482421875,0.0
7A7557,0.029999999329447746,4690.5517578125,0.0,0.34700000286102295,0.0,0.0,3149.4140625,9.999999747378752e-05,1000000.0,1000000.0,0.0,0.0,109.09091186523438,9392.724609375,1608.2763671875,0.0
7A7815,0.029999999329447746,283.8134765625,0.0,0.1599999964237213,0.0,0.0,521.8505859375,9.999999747378752e-05,301885.5625,181213.015625,0.0,0.0,51.51515197753906,26462.677734375,759.8876953125,0.0
AC-291 BR-3L,0.029999999329447746,12496.9482421875,0.0,0.4399999976158142,0.0,0.0,18746.94921875,9.999999747378752e-05,148015.625,165639.921875,0.0,0.0,280.8080749511719,172875.96875,24996.94921875,0.0
AD14139 FD,0.029999999329447746,9378.0517578125,0.0,0.7200000286102295,0.0,0.0,11718.75,9.999999747378752e-05,596273.25,797363.875,0.0,0.0,361.1111145019531,186688.984375,14059.4482421875,0.0
AE-1508 BO,0.029999999329447746,3030.3955078125,0.0,0.23999999463558197,0.0,0.0,2001.953125,9.999999747378752e-05,108975.984375,173539.265625,0.0,0.0,161.6161651611328,31652.962890625,973.5107421875,0.0
AE-1586 JVW1,0.029999999329447746,24996.94921875,0.0,0.25,0.0,0.0,17187.5,9.999999747378752e-05,53664.46484375,205435.90625,0.0,0.0,161.11111450195312,46980.92578125,9378.0517578125,0.0
AMBER,0.029999999329447746,3121.9482421875,0.0,0.31700000166893005,0.0,0.0,4684.4482421875,9.999999747378752e-05,1000000.0,1000000.0,0.0,0.0,189.39393615722656,40315.58203125,6246.9482421875,0.0
ATTIVO-K1046-P,0.029999999329447746,3121.9482421875,0.0,0.2329999953508377,0.0,0.0,1864.6240234375,9.999999747378752e-05,539847.25,1000000.0,0.0,0.0,128.78787231445312,46386.6875,607.2998046875,0.0
AVIS 4300,0.029999999329447746,778.1982421875,0.0,0.12999999523162842,0.0,0.0,1074.21875,9.999999747378752e-05,1000000.0,1000000.0,0.0,0.0,80.30303192138672,7819.95458984375,1370.2392578125,0.0
BACK SULUB F-TERRY,0.029999999329447746,4690.5517578125,0.0,0.9819999933242798,0.0,0.0,4296.875,9.999999747378752e-05,33197.140625,46255.921875,0.0,0.0,298.4848327636719,32858.55078125,3903.1982421875,0.0
BACK TWIST F-TERRY.zfab,0.029999999329447746,5471.8017578125,0.0,1.3700000047683716,0.0,0.0,3421.0205078125,9.999999747378752e-05,488198.9375,522712.125,0.0,0.0,381.81817626953125,404869.125,1370.2392578125,0.0
BB0070A-1,0.029999999329447746,2151.4892578125,0.0,0.3400000035762787,0.0,0.0,1150.5126953125,9.999999747378752e-05,97166.3828125,106237.6328125,0.0,0.0,120.2020263671875,6282.39990234375,149.5361328125,0.0
BB0070A-2,0.029999999329447746,2346.8017578125,0.0,0.328000009059906,0.0,0.0,1232.91015625,9.999999747378752e-05,48976.0390625,104741.0234375,0.0,0.0,127.27272033691406,29393.37109375,119.0185546875,0.0
