name,bucklingStiffnessLeftBias,thickness,bucklingStiffnessRightBias,stretchWarp,density,bucklingStiffnessWeft,leftShear,bucklingRatioRightBias,bucklingStiffnessWarp,bendingRightBias,bendingWeft,rightShear,bucklingRatioLeftBias,stretchWeft,bucklingRatioWeft,friction,bendingWarp,bendingLeftBias,internalDamping,bucklingRatioWarp
A single jersey Polyester,0.0,0.47999998927116394,0.0,16909.51953125,137.8787841796875,0.0,5165.150390625,0.0,0.0,21.93450927734375,23.84185791015625,5165.150390625,0.0,13991.046875,0.0,0.029999999329447746,18.11981201171875,21.93450927734375,9.999999747378752e-05,0.0
interlock Cotton Polyester,0.0,0.75,0.0,28609.59765625,210.1009979248047,0.0,48538.90234375,0.0,0.0,594.1390991210938,266.07513427734375,48538.90234375,0.0,30754.23046875,0.0,0.029999999329447746,1830.10107421875,594.1390991210938,9.999999747378752e-05,0.0
Woven plain Cotton,0.25,0.33000001311302185,0.25,1000000.0,151.51515197753906,0.25,214090.34375,0.30000001192092896,0.25,3935.81396484375,1467.704833984375,214090.34375,0.30000001192092896,1000000.0,0.30000001192092896,0.029999999329447746,4273.41455078125,3935.81396484375,9.999999747378752e-05,0.30000001192092896
A,0.0,1.3799999952316284,0.0,107700.1640625,320.2020263671875,0.0,19196.67578125,0.0,0.0,2348.89990234375,2804.75634765625,19196.67578125,0.0,50328.8515625,0.0,0.029999999329447746,2745.62841796875,2348.89990234375,9.999999747378752e-05,0.0
Interlock Polyester Viscose,0.0,1.0299999713897705,0.0,90235.3203125,279.7979736328125,0.0,10119.373046875,0.0,0.0,609.3978881835938,1433.37255859375,10119.373046875,0.0,46870.453125,0.0,0.029999999329447746,3172.87451171875,609.3978881835938,9.999999747378752e-05,0.0
Fleece Polyester Viscose Cotton,0.0,2.0199999809265137,0.0,116388.765625,410.10101318359375,0.0,17165.869140625,0.0,0.0,10743.140625,3846.16845703125,17165.869140625,0.0,46248.58984375,0.0,0.029999999329447746,10743.140625,10743.140625,9.999999747378752e-05,0.0
Active Jersey Polyester,0.0,0.6399999856948853,0.0,44240.921875,256.06060791015625,0.0,18932.078125,0.0,0.0,153.54156494140625,275.61187744140625,18932.078125,0.0,36449.859375,0.0,0.029999999329447746,441.55120849609375,153.54156494140625,9.999999747378752e-05,0.0
X Rib Cotton Polyester,0.0,0.7699999809265137,0.0,125619.71875,11616.162109375,0.0,46211.390625,0.0,0.0,31249.046875,39092.0625,46211.390625,0.0,95242.0703125,0.0,0.029999999329447746,191405.296875,31249.046875,9.999999747378752e-05,0.0
Jersey Slub Viscose Polyester,0.0,0.6299999952316284,0.0,29316.82421875,202.02020263671875,0.0,4030.73876953125,0.0,0.0,388.14544677734375,626.5640258789062,4030.73876953125,0.0,11514.486328125,0.0,0.029999999329447746,565.5288696289062,388.14544677734375,9.999999747378752e-05,0.0
jersey Cotton Polyester,0.0,0.5099999904632568,0.0,35245.36328125,160.10101318359375,0.0,18007.08984375,0.0,0.0,302.31475830078125,267.98248291015625,18007.08984375,0.0,13704.2578125,0.0,0.029999999329447746,1158.71435546875,302.31475830078125,9.999999747378752e-05,0.0
interlock Mesh Polyester,0.0,0.6399999856948853,0.0,44426.10546875,139.89898681640625,0.0,6912.54736328125,0.0,0.0,111.57989501953125,136.37542724609375,6912.54736328125,0.0,10260.46484375,0.0,0.029999999329447746,281.33392333984375,111.57989501953125,9.999999747378752e-05,0.0
Jersey Pique Cotton Polyester,0.0,0.6499999761581421,0.0,26800.158203125,183.83839416503906,0.0,28503.189453125,0.0,0.0,214.57672119140625,761.9857788085938,28503.189453125,0.0,31737.328125,0.0,0.029999999329447746,1555.44287109375,214.57672119140625,9.999999747378752e-05,0.0
C G Woven Plain Cotton cotton,0.25,0.2800000011920929,0.25,1000000.0,105.05049896240234,0.25,160418.375,0.30000001192092896,0.25,2198.21923828125,1006.1264038085938,160418.375,0.30000001192092896,485442.375,0.30000001192092896,0.029999999329447746,1708.03076171875,2198.21923828125,9.999999747378752e-05,0.30000001192092896
CA knit x rib Cotton Polyester,0.0,0.9200000166893005,0.0,123054.1328125,270.2020263671875,0.0,8812.8408203125,0.0,0.0,580.7876586914062,359.53521728515625,8812.8408203125,0.0,48970.21875,0.0,0.029999999329447746,6834.98388671875,580.7876586914062,9.999999747378752e-05,0.0
Woven Twill,0.25,0.44999998807907104,0.25,210451.53125,208.080810546875,0.25,19435.20703125,0.30000001192092896,0.25,670.4330444335938,1702.30859375,19435.20703125,0.30000001192092896,198463.015625,0.30000001192092896,0.029999999329447746,1601.21923828125,670.4330444335938,9.999999747378752e-05,0.30000001192092896
Poplin Cotton,0.25,0.1899999976158142,0.25,344320.25,97.97979736328125,0.25,17302.048828125,0.30000001192092896,0.25,1097.67919921875,548.3627319335938,17302.048828125,0.30000001192092896,1000000.0,0.30000001192092896,0.029999999329447746,3905.29638671875,1097.67919921875,9.999999747378752e-05,0.30000001192092896
