ITEM#,friction,bendingWeft,bucklingStiffnessWeft,thickness,bucklingStiffnessBias_x,bucklingRatioWarp,bendingBias_x,internalDamping,stretchWarp,stretchWeft,bucklingRatioWias_x,bucklingRatioWeft,density,shear_x,bendingWarp,bucklingStiffnessWarp,bucklingStiffnessBias_y,bendingWeft_x,stretchWeft_x,thickness_x,bucklingRatioWarp_x,bucklingRatioWeft_x,bucklingStiffnessWeft_x,density_x,friction_x,shear_y,bucklingStiffnessWarp_x,internalDamping_x,bucklingRatioWias_y,bendingBias_y,bendingWarp_x,stretchWarp_x,Resource,WEIGHT (G/SM),Cuttable Width(inch),Fabric  Category,Fabric Type,FABRIC CONTENT 1,FABRIC CONTENT 2,FABRIC CONTENT 3,FABRIC CONTENT 4,FABRIC CONTENT 5,bendingLeftBias,bendingRightBias,bendingWarp_y,bendingWeft_y,bucklingRatioLeftBias,bucklingRatioRightBias,bucklingRatioWarp_y,bucklingRatioWeft_y,bucklingStiffnessLeftBias,bucklingStiffnessRightBias,bucklingStiffnessWarp_y,bucklingStiffnessWeft_y,density_y,friction_y,internalDamping_y,leftShear,rightShear,stretchWarp_y,stretchWeft_y,thickness_y
#1001 SKIN+CIRE,0.0299999993294477,27.4658203125,0.0,0.0700000002980232,0.0,0.0,36.62109375,9.999999747378752e-05,1000000.0,1000000.0,0.0,0.0,38.88888931274414,25206.509765625,45.7763671875,0.0,0.0,27.4658203125,1000000.0,0.0700000002980232,0.0,0.0,0.0,38.88888931274414,0.0299999993294477,25206.509765625,0.0,9.999999747378752e-05,0.0,36.62109375,45.7763671875,1000000.0,KTTA & KOTITI,281,,woven,twill,"cotton 73%, ",polyester 27%,,,,,,,,,,,,,,,,,,,,,,,
#1001 SKIN+CIRE_FRONT_1425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.77637,27.46582,,,,0.0,,,0.0,0.0,38.88889,0.03,0.0001,,,1000000.0,1000000.0,0.07
#1025 SKIN+,0.0299999993294477,100.7080078125,0.0,0.1199999973177909,0.0,0.0,234.9853515625,9.999999747378752e-05,1000000.0,1000000.0,0.0,0.0,45.959598541259766,98017.9296875,369.2626953125,0.0,0.0,100.7080078125,1000000.0,0.1199999973177909,0.0,0.0,0.0,45.959598541259766,0.0299999993294477,98017.9296875,0.0,9.999999747378752e-05,0.0,234.9853515625,369.2626953125,1000000.0,KTTA & KOTITI,217,,knit,,"polyamide 80%, ",EL 20%,,,,,,,,,,,,,,,,,,,,,,,
#1025 SKIN+_FRONT_1508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369.2627,100.708,,,,0.0,,,0.0,0.0,45.9596,0.03,0.0001,,,1000000.0,1000000.0,0.12
#1128 C2L,0.0299999993294477,192.2607421875,0.0,0.0799999982118606,0.0,0.0,268.5546875,9.999999747378752e-05,1000000.0,1000000.0,0.0,0.0,43.43434524536133,12141.4794921875,344.8486328125,0.0,0.0,192.2607421875,1000000.0,0.0799999982118606,0.0,0.0,0.0,43.43434524536133,0.0299999993294477,12141.4794921875,0.0,9.999999747378752e-05,0.0,268.5546875,344.8486328125,1000000.0,KTTA & KOTITI,180,,knit,,PC 100%,,,,,,,,,,,,,,,,,,,,,,,,
#1128 C2L_FRONT_1591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,344.8486,192.2607,,,,0.0,,,0.0,0.0,43.43435,0.03,0.0001,,,1000000.0,1000000.0,0.08
#1754 WR,0.0299999993294477,1217.6513671875,0.0,0.4900000095367431,0.0,0.0,2560.4248046875,9.999999747378752e-05,150546.53125,649094.125,0.0,0.0,261.1111145019531,132290.15625,3903.1982421875,0.0,0.0,1217.6513671875,649094.125,0.4900000095367431,0.0,0.0,0.0,261.1111145019531,0.0299999993294477,132290.15625,0.0,9.999999747378752e-05,0.0,2560.4248046875,3903.1982421875,150546.53125,KTTA & KOTITI,208,,knit,,"cotton 60%,",polyester 40%,,,,,,,,,,,,,,,,,,,,,,,
#1754 WR_FRONT_1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3903.198,1217.651,,,,0.0,,,0.0,0.0,261.1111,0.03,0.0001,,,150546.5,649094.1,0.49
#1840,0.0299999993294477,76.2939453125,0.0,0.1700000017881393,0.0,0.0,76.2939453125,9.999999747378752e-05,313735.1875,183954.40625,0.0,0.0,80.8080825805664,12871.1953125,76.2939453125,0.0,0.0,76.2939453125,183954.40625,0.1700000017881393,0.0,0.0,0.0,80.8080825805664,0.0299999993294477,12871.1953125,0.0,9.999999747378752e-05,0.0,76.2939453125,76.2939453125,313735.1875,KTTA & KOTITI,164,,woven,,polyester 100%,,,,,,,,,,,,,,,,,,,,,,,,
#1840_FRONT_1763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.29395,76.29395,,,,0.0,,,0.0,0.0,80.80808,0.03,0.0001,,,313735.2,183954.4,0.17
#4509 PU2,0.0299999993294477,37503.05078125,0.0,0.5360000133514404,0.0,0.0,68750.0,9.999999747378752e-05,1000000.0,1000000.0,0.0,0.0,333.8384094238281,483411.28125,99996.953125,0.0,0.0,37503.05078125,1000000.0,0.5360000133514404,0.0,0.0,0.0,333.8384094238281,0.0299999993294477,483411.28125,0.0,9.999999747378752e-05,0.0,68750.0,99996.953125,1000000.0,KTTA & KOTITI,120,,woven,,"cotton 55%, ",Silk 45%,,,,,,,,,,,,,,,,,,,,,,,
