name,extensions.CLO_materials_fabric_property.physicalProperty.bendingLeftBias,extensions.CLO_materials_fabric_property.physicalProperty.bendingRightBias,extensions.CLO_materials_fabric_property.physicalProperty.bendingWarp,extensions.CLO_materials_fabric_property.physicalProperty.bendingWeft,extensions.CLO_materials_fabric_property.physicalProperty.bucklingRatioLeftBias,extensions.CLO_materials_fabric_property.physicalProperty.bucklingRatioRightBias,extensions.CLO_materials_fabric_property.physicalProperty.bucklingRatioWarp,extensions.CLO_materials_fabric_property.physicalProperty.bucklingRatioWeft,extensions.CLO_materials_fabric_property.physicalProperty.bucklingStiffnessLeftBias,extensions.CLO_materials_fabric_property.physicalProperty.bucklingStiffnessRightBias,extensions.CLO_materials_fabric_property.physicalProperty.bucklingStiffnessWarp,extensions.CLO_materials_fabric_property.physicalProperty.bucklingStiffnessWeft,extensions.CLO_materials_fabric_property.physicalProperty.density,extensions.CLO_materials_fabric_property.physicalProperty.friction,extensions.CLO_materials_fabric_property.physicalProperty.internalDamping,extensions.CLO_materials_fabric_property.physicalProperty.leftShear,extensions.CLO_materials_fabric_property.physicalProperty.rightShear,extensions.CLO_materials_fabric_property.physicalProperty.stretchWarp,extensions.CLO_materials_fabric_property.physicalProperty.stretchWeft,extensions.CLO_materials_fabric_property.physicalProperty.thickness,extensions.CLO_materials_fabric_property.textureMapping.type,extensions.KHR_materials_specular.specularFactor,pbrMetallicRoughness.metallicFactor,pbrMetallicRoughness.roughnessFactor,extensions.CLO_materials_fabric_property.physicalProperty.nonlinearLeftShear,extensions.CLO_materials_fabric_property.physicalProperty.nonlinearRightShear,extensions.CLO_materials_fabric_property.physicalProperty.nonlinearStretchWarp,extensions.CLO_materials_fabric_property.physicalProperty.nonlinearStretchWeft,normalTexture.extensions.KHR_texture_transform.offset,normalTexture.extensions.KHR_texture_transform.scale,normalTexture.index,normalTexture.scale,pbrMetallicRoughness.baseColorTexture.extensions.KHR_texture_transform.offset,pbrMetallicRoughness.baseColorTexture.extensions.KHR_texture_transform.scale,pbrMetallicRoughness.baseColorTexture.index,pbrMetallicRoughness.baseColorFactor,pbrMetallicRoughness.metallicRoughnessTexture.extensions.KHR_texture_transform.offset,pbrMetallicRoughness.metallicRoughnessTexture.extensions.KHR_texture_transform.scale,pbrMetallicRoughness.metallicRoughnessTexture.index,alphaMode
(Default_for_Simulation)_2013,6283.185546875,6283.185546875,6283.185546875,6283.185546875,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,300.0,0.029999999329447746,9.999999747378752e-05,20000.0,20000.0,100000.0,100000.0,0.5,0,0.15000000596046448,0.0,0.8281493782997131,,,,,,,,,,,,,,,,
Cotton_Heavy_Twill_2109,30676.623046875,30676.623046875,49084.390625,18428.7421875,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.25,0.25,0.25,0.25,277.77777099609375,0.029999999329447746,9.999999747378752e-05,502460.875,502460.875,490655.125,629429.75,0.6200000047683716,0,0.15000000596046448,0.0,0.5,"[{'lengthRatio': 1.0, 'stiffnessRatio': 0.4162435829639435}, {'lengthRatio': 1.0032474994659424, 'stiffnessRatio': 1.4376112222671509}, {'lengthRatio': 1.019587516784668, 'stiffnessRatio': 1.4376112222671509}, {'lengthRatio': 1.036834955215454, 'stiffnessRatio': 1.4376112222671509}]","[{'lengthRatio': 1.0, 'stiffnessRatio': 0.4162435829639435}, {'lengthRatio': 1.0032474994659424, 'stiffnessRatio': 1.4376112222671509}, {'lengthRatio': 1.019587516784668, 'stiffnessRatio': 1.4376112222671509}, {'lengthRatio': 1.036834955215454, 'stiffnessRatio': 1.4376112222671509}]","[{'lengthRatio': 1.0, 'stiffnessRatio': 0.35829779505729675}, {'lengthRatio': 1.0028325319290161, 'stiffnessRatio': 2.0380914211273193}, {'lengthRatio': 1.007502555847168, 'stiffnessRatio': 2.0380914211273193}, {'lengthRatio': 1.0109950304031372, 'stiffnessRatio': 2.0380914211273193}]","[{'lengthRatio': 1.0, 'stiffnessRatio': 0.26680320501327515}, {'lengthRatio': 1.0015599727630615, 'stiffnessRatio': 1.5887396335601807}, {'lengthRatio': 1.0049874782562256, 'stiffnessRatio': 1.5887396335601807}, {'lengthRatio': 1.00850510597229, 'stiffnessRatio': 1.5887396335601807}]","[-0.0, 1.0]","[0.005767012946307659, 0.005767012946307659]",1.0,0.5,"[-0.0, 1.0]","[0.005767012946307659, 0.005767012946307659]",0.0,,,,,
Cotton_Sateen_2171,5755.423828125,5755.423828125,12268.8505859375,2106.2275390625,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.25,0.25,0.25,0.25,137.8787841796875,0.029999999329447746,9.999999747378752e-05,64324.8828125,64324.8828125,321432.25,194124.59375,0.3199999928474426,0,0.15000000596046448,0.0,0.5,"[{'lengthRatio': 1.0, 'stiffnessRatio': 0.8482141494750977}, {'lengthRatio': 1.03707754611969, 'stiffnessRatio': 2.5700058937072754}, {'lengthRatio': 1.1054174900054932, 'stiffnessRatio': 3.800400733947754}, {'lengthRatio': 1.1576651334762573, 'stiffnessRatio': 5.3655476570129395}]","[{'lengthRatio': 1.0, 'stiffnessRatio': 0.8482141494750977}, {'lengthRatio': 1.03707754611969, 'stiffnessRatio': 2.5700058937072754}, {'lengthRatio': 1.1054174900054932, 'stiffnessRatio': 3.800400733947754}, {'lengthRatio': 1.1576651334762573, 'stiffnessRatio': 5.3655476570129395}]","[{'lengthRatio': 1.0, 'stiffnessRatio': 0.6674110889434814}, {'lengthRatio': 1.0036699771881104, 'stiffnessRatio': 1.985012412071228}, {'lengthRatio': 1.0087499618530273, 'stiffnessRatio': 3.1110754013061523}, {'lengthRatio': 1.0110000371932983, 'stiffnessRatio': 3.1110754013061523}]","[{'lengthRatio': 1.0, 'stiffnessRatio': 0.25152724981307983}, {'lengthRatio': 1.00832998752594, 'stiffnessRatio': 4.745514869689941}, {'lengthRatio': 1.0183299779891968, 'stiffnessRatio': 5.151330947875977}, {'lengthRatio': 1.0268349647521973, 'stiffnessRatio': 5.151330947875977}]","[-0.0, 1.0]","[0.005767012946307659, 0.005767012946307659]",3.0,0.5,"[-0.0, 1.0]","[0.005767012946307659, 0.005767012946307659]",2.0,,,,,
Cotton_Plush_2149,4084.070556640625,4084.070556640625,3769.911376953125,4398.22998046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.0,0.029999999329447746,9.999999747378752e-05,460000.0,460000.0,700000.0,330000.0,0.5,0,0.15000000596046448,0.0,0.5,,,,,,,,,,,,"[0.9322768449783325, 0.7051031589508057, 0.6941080093383789, 1.0]",,,,
Cotton_Plush_2150,4084.070556640625,4084.070556640625,3769.911376953125,4398.22998046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.0,0.029999999329447746,9.999999747378752e-05,460000.0,460000.0,700000.0,330000.0,0.5,0,0.15000000596046448,0.0,0.5,,,,,,,,,,,,"[0.9322768449783325, 0.7051031589508057, 0.6941080093383789, 1.0]",,,,
Cotton_Plush_2151,4084.070556640625,4084.070556640625,3769.911376953125,4398.22998046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.0,0.029999999329447746,9.999999747378752e-05,460000.0,460000.0,700000.0,330000.0,0.5,0,0.15000000596046448,0.0,0.5,,,,,,,,,,,,"[0.9322768449783325, 0.7051031589508057, 0.6941080093383789, 1.0]",,,,
(Default_v5.2)_2195,471.2389221191406,471.2389221191406,1884.9556884765625,314.1592712402344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.029999999329447746,9.999999747378752e-05,20000.0,20000.0,100000.0,100000.0,0.5,0,0.15000000596046448,0.0,0.5,,,,,,,,,,,,,,,,
Cotton_Canvas_2219,30299.115234375,30299.115234375,49084.390625,18404.7734375,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.25,0.25,0.25,0.25,246.96969604492188,0.029999999329447746,9.999999747378752e-05,284065.53125,284065.53125,565196.875,768750.5625,0.550000011920929,0,0.15000000596046448,0.0,0.5,"[{'lengthRatio': 1.0, 'stiffnessRatio': 0.3073357045650482}, {'lengthRatio': 1.0045050382614136, 'stiffnessRatio': 1.3859772682189941}, {'lengthRatio': 1.016664981842041, 'stiffnessRatio': 2.1349337100982666}, {'lengthRatio': 1.0268349647521973, 'stiffnessRatio': 2.1365113258361816}]","[{'lengthRatio': 1.0, 'stiffnessRatio': 0.3073357045650482}, {'lengthRatio': 1.0045050382614136, 'stiffnessRatio': 1.3859772682189941}, {'lengthRatio': 1.016664981842041, 'stiffnessRatio': 2.1349337100982666}, {'lengthRatio': 1.0268349647521973, 'stiffnessRatio': 2.1365113258361816}]","[{'lengthRatio': 1.0, 'stiffnessRatio': 0.025931384414434433}, {'lengthRatio': 1.0015649795532227, 'stiffnessRatio': 1.7692949771881104}, {'lengthRatio': 1.0037225484848022, 'stiffnessRatio': 1.7692949771881104}, {'lengthRatio': 1.0059950351715088, 'stiffnessRatio': 1.7692949771881104}]","[{'lengthRatio': 1.0, 'stiffnessRatio': 0.5000826716423035}, {'lengthRatio': 1.0011299848556519, 'stiffnessRatio': 1.300812005996704}, {'lengthRatio': 1.0032974481582642, 'stiffnessRatio': 1.300812005996704}, {'lengthRatio': 1.0059950351715088, 'stiffnessRatio': 1.300812005996704}]","[-0.0, 1.0]","[0.005727377254515886, 0.004793863743543625]",5.0,0.5,"[-0.0, 1.0]","[0.005727377254515886, 0.004793863743543625]",4.0,,,,,
Cotton_Gabardine_2247,18410.765625,18410.765625,30700.58984375,12250.8740234375,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.25,0.25,0.25,0.25,192.4242401123047,0.029999999329447746,9.999999747378752e-05,308368.0,308368.0,714430.875,760106.0,0.3799999952316284,0,0.15000000596046448,0.0,0.5,"[{'lengthRatio': 1.0, 'stiffnessRatio': 0.883914589881897}, {'lengthRatio': 1.0045424699783325, 'stiffnessRatio': 1.4066554307937622}, {'lengthRatio': 1.0279099941253662, 'stiffnessRatio': 1.4066554307937622}, {'lengthRatio': 1.0468250513076782, 'stiffnessRatio': 1.4066554307937622}]","[{'lengthRatio': 1.0, 'stiffnessRatio': 0.883914589881897}, {'lengthRatio': 1.0045424699783325, 'stiffnessRatio': 1.4066554307937622}, {'lengthRatio': 1.0279099941253662, 'stiffnessRatio': 1.4066554307937622}, {'lengthRatio': 1.0468250513076782, 'stiffnessRatio': 1.4066554307937622}]","[{'lengthRatio': 1.0, 'stiffnessRatio': 0.6375179886817932}, {'lengthRatio': 1.0011249780654907, 'stiffnessRatio': 1.399715542793274}, {'lengthRatio': 1.002882480621338, 'stiffnessRatio': 1.399715542793274}, {'lengthRatio': 1.0059900283813477, 'stiffnessRatio': 1.399715542793274}]","[{'lengthRatio': 1.0, 'stiffnessRatio': 0.7414282560348511}, {'lengthRatio': 1.0011425018310547, 'stiffnessRatio': 1.3156059980392456}, {'lengthRatio': 1.0041500329971313, 'stiffnessRatio': 1.3156059980392456}, {'lengthRatio': 1.0076600313186646, 'stiffnessRatio': 1.3156059980392456}]","[-0.0, 1.0]","[0.005767012946307659, 0.005767012946307659]",7.0,0.5,"[-0.0, 1.0]","[0.005767012946307659, 0.005767012946307659]",6.0,,,,,
Cotton_Heavy_Canvas_2275,33750.57421875,33750.57421875,33750.57421875,33750.57421875,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.25,0.25,0.25,0.25,382.3232421875,0.029999999329447746,9.999999747378752e-05,233384.0,233384.0,139965.875,288874.5625,1.0499999523162842,0,0.15000000596046448,0.0,0.5,"[{'lengthRatio': 1.0, 'stiffnessRatio': 1.0}, {'lengthRatio': 1.0199999809265137, 'stiffnessRatio': 1.0}, {'lengthRatio': 1.085415005683899, 'stiffnessRatio': 1.0}, {'lengthRatio': 1.140165090560913, 'stiffnessRatio': 1.0}]","[{'lengthRatio': 1.0, 'stiffnessRatio': 1.0}, {'lengthRatio': 1.0199999809265137, 'stiffnessRatio': 1.0}, {'lengthRatio': 1.085415005683899, 'stiffnessRatio': 1.0}, {'lengthRatio': 1.140165090560913, 'stiffnessRatio': 1.0}]","[{'lengthRatio': 1.0, 'stiffnessRatio': 0.003572299377992749}, {'lengthRatio': 1.012915015220642, 'stiffnessRatio': 3.40824556350708}, {'lengthRatio': 1.0270824432373047, 'stiffnessRatio': 4.702476501464844}, {'lengthRatio': 1.039335012435913, 'stiffnessRatio': 5.112410068511963}]","[{'lengthRatio': 1.0, 'stiffnessRatio': 0.852864146232605}, {'lengthRatio': 1.0120799541473389, 'stiffnessRatio': 1.4315956830978394}, {'lengthRatio': 1.047082543373108, 'stiffnessRatio': 1.4315956830978394}, {'lengthRatio': 1.074334979057312, 'stiffnessRatio': 1.4315956830978394}]","[-0.0, 1.0]","[0.005767012946307659, 0.005767012946307659]",9.0,0.5,"[-0.0, 1.0]","[0.005767012946307659, 0.005767012946307659]",8.0,,,,,
