name,bendingRightBias,stretchWarp,bucklingRatioWeft,bucklingStiffnessWeft,bucklingStiffnessRightBias,bucklingStiffnessWarp,rightShear,bucklingStiffnessLeftBias,internalDamping,nonlinearLeftShear,bucklingRatioRightBias,bendingWeft,density,stretchWeft,bendingWarp,nonlinearStretchWeft,leftShear,bucklingRatioLeftBias,nonlinearRightShear,thickness,bendingLeftBias,friction,bucklingRatioWarp,nonlinearStretchWarp
V2_Animal_Alternatives_VeganFur_3_1699,105837.703125,131466.953125,0.30000001192092896,0.25,0.25,0.25,149134.140625,0.25,9.999999747378752e-05,,0.30000001192092896,105882.7734375,810.0,166900.0,211768.921875,,149134.140625,0.30000001192092896,,0.5,105837.703125,0.029999999329447746,0.30000001192092896,
V2_Animal_Alternatives_VeganLeather_2_1737,21063.96484375,78001.203125,0.30000001192092896,1.0,1.0,1.0,108516.6171875,1.0,9.999999747378752e-05,,0.30000001192092896,23701.939453125,380.0,64834.53515625,96244.265625,,117075.7890625,0.30000001192092896,,0.5,21063.96484375,0.029999999329447746,0.30000001192092896,
V1_Woven_Cotton_Voile_1771,3064.965576171875,323740.0625,0.30000001192092896,0.25,0.25,0.25,42214.7578125,0.25,9.999999747378752e-05,"[{'lengthRatio': 1.0, 'stiffnessRatio': 0.823711097240448}, {'lengthRatio': 1.0399999618530273, 'stiffnessRatio': 3.4230287075042725}, {'lengthRatio': 1.1133350133895874, 'stiffnessRatio': 5.603886127471924}, {'lengthRatio': 1.1693300008773804, 'stiffnessRatio': 8.253124237060547}]",0.30000001192092896,2256.030517578125,79.29293823242188,189098.3125,5371.9287109375,"[{'lengthRatio': 1.0, 'stiffnessRatio': 0.3426857888698578}, {'lengthRatio': 1.0045050382614136, 'stiffnessRatio': 3.7946817874908447}, {'lengthRatio': 1.015832543373108, 'stiffnessRatio': 5.288254261016846}, {'lengthRatio': 1.0235000848770142, 'stiffnessRatio': 5.288254261016846}]",42214.7578125,0.30000001192092896,"[{'lengthRatio': 1.0, 'stiffnessRatio': 0.823711097240448}, {'lengthRatio': 1.0399999618530273, 'stiffnessRatio': 3.4230287075042725}, {'lengthRatio': 1.1133350133895874, 'stiffnessRatio': 5.603886127471924}, {'lengthRatio': 1.1693300008773804, 'stiffnessRatio': 8.253124237060547}]",0.20999999344348907,3064.965576171875,0.029999999329447746,0.30000001192092896,"[{'lengthRatio': 1.0, 'stiffnessRatio': 0.2704392373561859}, {'lengthRatio': 1.0019899606704712, 'stiffnessRatio': 3.088897943496704}, {'lengthRatio': 1.0058300495147705, 'stiffnessRatio': 3.088897943496704}, {'lengthRatio': 1.0093300342559814, 'stiffnessRatio': 3.088897943496704}]"
V2_Cut_Sew_Knit_Neoprene_Scuba_2_1805,23807.45703125,56036.6484375,0.30000001192092896,0.8548691272735596,0.8543397784233093,0.8549089431762695,45020.26953125,0.8543397784233093,9.999999747378752e-05,,0.30000001192092896,32251.654296875,284.0,50975.3828125,52288.5234375,,46809.8359375,0.30000001192092896,,0.5,23807.45703125,0.029999999329447746,0.30000001192092896,
V2_Woven_Poplin_2_1845,3323.010986328125,240000.0,0.30000001192092896,0.25,0.25,0.25,99363.4453125,0.25,9.999999747378752e-05,,0.30000001192092896,5813.0859375,120.0,240000.0,6637.34912109375,,99220.296875,0.30000001192092896,,0.5,3323.010986328125,0.029999999329447746,0.30000001192092896,
V1_Fur_Angora_1877,4712.38916015625,110000.0,0.0,0.0,0.0,0.0,80000.0,0.0,9.999999747378752e-05,,0.0,3769.911376953125,230.0,53000.0,5340.70751953125,,80000.0,0.0,,0.5,4712.38916015625,0.029999999329447746,0.0,
V1_Fur_Angora_1878,4712.38916015625,110000.0,0.0,0.0,0.0,0.0,80000.0,0.0,9.999999747378752e-05,,0.0,3769.911376953125,230.0,53000.0,5340.70751953125,,80000.0,0.0,,0.5,4712.38916015625,0.029999999329447746,0.0,
V1_Fur_Angora_1879,4712.38916015625,110000.0,0.0,0.0,0.0,0.0,80000.0,0.0,9.999999747378752e-05,,0.0,3769.911376953125,230.0,53000.0,5340.70751953125,,80000.0,0.0,,0.5,4712.38916015625,0.029999999329447746,0.0,
V2_Cut_Sew_Knit_ITY_MatteJersey_2_1909,728.3651733398438,50004.33203125,0.30000001192092896,1.0,1.0,1.0,24530.708984375,1.0,9.999999747378752e-05,,0.30000001192092896,1045.7867431640625,204.0,19576.376953125,2179.43115234375,,18409.494140625,0.30000001192092896,,0.5,728.3651733398438,0.029999999329447746,0.30000001192092896,
V2_Cut_Sew_Knit_Rib_3_1951,555.46337890625,16032.8818359375,0.30000001192092896,1.0,1.0,1.0,7566.81298828125,1.0,9.999999747378752e-05,,0.30000001192092896,104.56342315673828,227.0,8687.3974609375,6796.22119140625,,10192.9765625,0.30000001192092896,,0.5,555.46337890625,0.029999999329447746,0.30000001192092896,
