name,bendingLeftBias,bendingRightBias,bendingWarp,bendingWeft,bucklingRatioLeftBias,bucklingRatioRightBias,bucklingRatioWarp,bucklingRatioWeft,bucklingStiffnessLeftBias,bucklingStiffnessRightBias,bucklingStiffnessWarp,bucklingStiffnessWeft,density,friction,internalDamping,leftShear,nonlinearLeftShear_0_lengthRatio,nonlinearLeftShear_0_stiffnessRatio,nonlinearLeftShear_1_lengthRatio,nonlinearLeftShear_1_stiffnessRatio,nonlinearLeftShear_2_lengthRatio,nonlinearLeftShear_2_stiffnessRatio,nonlinearLeftShear_3_lengthRatio,nonlinearLeftShear_3_stiffnessRatio,nonlinearRightShear_0_lengthRatio,nonlinearRightShear_0_stiffnessRatio,nonlinearRightShear_1_lengthRatio,nonlinearRightShear_1_stiffnessRatio,nonlinearRightShear_2_lengthRatio,nonlinearRightShear_2_stiffnessRatio,nonlinearRightShear_3_lengthRatio,nonlinearRightShear_3_stiffnessRatio,nonlinearStretchWarp_0_lengthRatio,nonlinearStretchWarp_0_stiffnessRatio,nonlinearStretchWarp_1_lengthRatio,nonlinearStretchWarp_1_stiffnessRatio,nonlinearStretchWarp_2_lengthRatio,nonlinearStretchWarp_2_stiffnessRatio,nonlinearStretchWarp_3_lengthRatio,nonlinearStretchWarp_3_stiffnessRatio,nonlinearStretchWeft_0_lengthRatio,nonlinearStretchWeft_0_stiffnessRatio,nonlinearStretchWeft_1_lengthRatio,nonlinearStretchWeft_1_stiffnessRatio,nonlinearStretchWeft_2_lengthRatio,nonlinearStretchWeft_2_stiffnessRatio,nonlinearStretchWeft_3_lengthRatio,nonlinearStretchWeft_3_stiffnessRatio,rightShear,stretchWarp,stretchWeft,thickness
V2_Animal_Alternatives_VeganFur_3_1699,105837.703125,105837.703125,211768.921875,105882.7734375,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.25,0.25,0.25,0.25,810.0,0.029999999329447746,9.999999747378752e-05,149134.140625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149134.140625,131466.953125,166900.0,0.5
V2_Animal_Alternatives_VeganLeather_2_1737,21063.96484375,21063.96484375,96244.265625,23701.939453125,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896,1.0,1.0,1.0,1.0,380.0,0.029999999329447746,9.999999747378752e-05,117075.7890625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108516.6171875,78001.203125,64834.53515625,0.5
V1_Woven_Cotton_Voile_1771,3064.965576171875,3064.965576171875,5371.9287109375,2256.030517578125,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.25,0.25,0.25,0.25,79.29293823242188,0.029999999329447746,9.999999747378752e-05,42214.7578125,1.0,0.823711097240448,1.0399999618530273,3.4230287075042725,1.1133350133895874,5.603886127471924,1.1693300008773804,8.253124237060547,1.0,0.823711097240448,1.0399999618530273,3.4230287075042725,1.1133350133895874,5.603886127471924,1.1693300008773804,8.253124237060547,1.0,0.2704392373561859,1.0019899606704712,3.088897943496704,1.0058300495147705,3.088897943496704,1.0093300342559814,3.088897943496704,1.0,0.3426857888698578,1.0045050382614136,3.7946817874908447,1.015832543373108,5.288254261016846,1.0235000848770142,5.288254261016846,42214.7578125,323740.0625,189098.3125,0.20999999344348907
V2_Cut_Sew_Knit_Neoprene_Scuba_2_1805,23807.45703125,23807.45703125,52288.5234375,32251.654296875,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.8543397784233093,0.8543397784233093,0.8549089431762695,0.8548691272735596,284.0,0.029999999329447746,9.999999747378752e-05,46809.8359375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45020.26953125,56036.6484375,50975.3828125,0.5
V2_Woven_Poplin_2_1845,3323.010986328125,3323.010986328125,6637.34912109375,5813.0859375,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.25,0.25,0.25,0.25,120.0,0.029999999329447746,9.999999747378752e-05,99220.296875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99363.4453125,240000.0,240000.0,0.5
V1_Fur_Angora_1877,4712.38916015625,4712.38916015625,5340.70751953125,3769.911376953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.0,0.029999999329447746,9.999999747378752e-05,80000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80000.0,110000.0,53000.0,0.5
V1_Fur_Angora_1878,4712.38916015625,4712.38916015625,5340.70751953125,3769.911376953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.0,0.029999999329447746,9.999999747378752e-05,80000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80000.0,110000.0,53000.0,0.5
V1_Fur_Angora_1879,4712.38916015625,4712.38916015625,5340.70751953125,3769.911376953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.0,0.029999999329447746,9.999999747378752e-05,80000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80000.0,110000.0,53000.0,0.5
V2_Cut_Sew_Knit_ITY_MatteJersey_2_1909,728.3651733398438,728.3651733398438,2179.43115234375,1045.7867431640625,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896,1.0,1.0,1.0,1.0,204.0,0.029999999329447746,9.999999747378752e-05,18409.494140625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24530.708984375,50004.33203125,19576.376953125,0.5
V2_Cut_Sew_Knit_Rib_3_1951,555.46337890625,555.46337890625,6796.22119140625,104.56342315673828,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896,1.0,1.0,1.0,1.0,227.0,0.029999999329447746,9.999999747378752e-05,10192.9765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7566.81298828125,16032.8818359375,8687.3974609375,0.5
