name,bucklingStiffnessWarp,bendingBias,bucklingRatioWeft,bucklingStiffnessBias,bucklingRatioWarp,bucklingRatioWias,thickness,bendingWeft,bendingWarp,shear,stretchWarp,stretchWeft,internalDamping,density,bucklingStiffnessWeft,friction
DoubleJersey,0.0,445.556640625,0.0,0.0,0.0,0.0,0.9599999785423279,411.9873046875,479.1259765625,7070.9091796875,19645.646484375,15809.23828125,9.999999747378752e-05,267.6767883300781,0.0,0.029999999329447746
TricotMesh,0.0,1116.943359375,0.0,0.0,0.0,0.0,0.8600000143051147,1950.0732421875,283.8134765625,21007.484375,92157.40625,304718.03125,9.999999747378752e-05,157.07069396972656,0.0,0.029999999329447746
OtherCotton-blended,0.0,857.5439453125,0.0,0.0,0.0,0.0,0.2800000011920929,1541.1376953125,173.9501953125,52547.390625,390000.03125,390000.0,9.999999747378752e-05,127.77777862548828,0.0,0.029999999329447746
DoubleJersey,0.0,2737.4267578125,0.0,0.0,0.0,0.0,1.6399999856948853,2737.4267578125,2737.4267578125,18702.923828125,281278.46875,107124.1484375,9.999999747378752e-05,260.10101318359375,0.0,0.029999999329447746
DoubleJersey,0.0,1559.4482421875,0.0,0.0,0.0,0.0,1.0700000524520874,1559.4482421875,1559.4482421875,24653.92578125,168508.234375,148919.140625,9.999999747378752e-05,276.7676696777344,0.0,0.029999999329447746
DoubleJersey,0.0,5465.6982421875,0.0,0.0,0.0,0.0,1.659999966621399,3903.1982421875,7028.1982421875,26152.625,284467.8125,112214.421875,9.999999747378752e-05,385.3535461425781,0.0,0.029999999329447746
DoubleJersey,0.0,13281.25,0.0,0.0,0.0,0.0,1.9800000190734863,7809.4482421875,18753.05078125,102330.875,388147.125,397696.375,9.999999747378752e-05,361.61614990234375,0.0,0.029999999329447746
SingleJersey,0.0,900.2685546875,0.0,0.0,0.0,0.0,0.8600000143051147,241.0888671875,1559.4482421875,38857.5859375,146152.984375,86136.71875,9.999999747378752e-05,223.73736572265625,0.0,0.029999999329447746
Rib,0.0,5859.375,0.0,0.0,0.0,0.0,1.340000033378601,5471.8017578125,6246.9482421875,97851.859375,450546.3125,131440.15625,9.999999747378752e-05,429.7980041503906,0.0,0.029999999329447746
CutandSewKnit 2,0.0,1913.4521484375,0.0,0.0,0.0,0.0,1.2599999904632568,314.3310546875,3512.5732421875,20069.669921875,124276.1171875,30028.767578125,9.999999747378752e-05,289.89898681640625,0.0,0.029999999329447746
CutandSewKnit,0.0,9371.9482421875,0.0,0.0,0.0,0.0,2.200000047683716,6246.9482421875,12496.9482421875,48860.6640625,344297.1875,92609.703125,9.999999747378752e-05,343.4343566894531,0.0,0.029999999329447746
CutandSewKnit,0.0,1913.4521484375,0.0,0.0,0.0,0.0,1.2599999904632568,314.3310546875,3512.5732421875,20069.669921875,124276.1171875,30028.767578125,9.999999747378752e-05,289.89898681640625,0.0,0.029999999329447746
BoiledWool,0.0,12496.9482421875,0.0,0.0,0.0,0.0,2.509999990463257,12496.9482421875,12496.9482421875,88636.03125,396375.09375,239134.140625,9.999999747378752e-05,491.9191589355469,0.0,0.029999999329447746
FrenchTerry,0.0,8786.0107421875,0.0,0.0,0.0,0.0,2.3299999237060547,5075.0732421875,12496.9482421875,77927.0859375,208186.71875,116168.578125,9.999999747378752e-05,507.0706787109375,0.0,0.029999999329447746
Ponte,0.0,442.5048828125,0.0,0.0,0.0,0.0,0.8999999761581421,497.4365234375,387.5732421875,31532.7578125,62522.3125,50760.20703125,9.999999747378752e-05,290.90911865234375,0.0,0.029999999329447746
DoubleJersey,0.0,213.623046875,0.0,0.0,0.0,0.0,1.1299999952316284,186.1572265625,241.0888671875,9550.19921875,54709.4453125,24431.783203125,9.999999747378752e-05,213.63636779785156,0.0,0.029999999329447746
